Demonstração de Controlador PID Discreto
Tempo,Setpoint,Saída,ControlPID
0,50,0.1998,100
0.01,50,2.17598,100
0.02,50,4.11302,100
0.03,50,6.01171,100
0.04,50,7.8728,100
0.05,50,9.69704,100
0.06,50,11.4852,100
0.07,50,13.2379,100
0.08,50,14.9559,100
0.09,50,16.6399,100
0.1,50,18.2905,100
0.11,50,19.9085,100
0.12,50,21.4944,100
0.13,50,23.0489,100
0.14,50,24.5726,100
0.15,50,26.0662,100
0.16,50,27.5302,100
0.17,50,28.9652,100
0.18,50,30.3718,100
0.19,50,31.7505,100
0.2,50,33.1019,100
0.21,50,34.4266,100
0.22,50,35.725,100
0.23,50,36.9978,100
0.24,50,38.2453,100
0.25,50,39.4681,100
0.26,50,40.6667,100
0.27,50,41.8416,100
0.28,50,42.9932,100
0.29,50,44.122,100
0.3,50,45.2285,100
0.31,50,46.313,100
0.32,50,47.3761,100
0.33,50,48.4181,100
0.34,50,49.4395,100
0.35,50,50.4361,98.9296
0.36,50,51.3368,92.8349
0.37,50,52.056,82.9653
0.38,50,52.5349,70.4927
0.39,50,52.7415,56.7717
0.4,50,52.6717,43.1981
0.41,50,52.3483,31.0724
0.42,50,51.8174,21.4791
0.43,50,51.1422,15.1958
0.44,50,50.3962,12.6351
0.45,50,49.6555,13.8269
0.46,50,48.9913,18.4372
0.47,50,48.4631,25.8221
0.48,50,48.1139,35.1076
0.49,50,47.9669,45.2874
0.5,50,48.0246,55.3278
0.51,50,48.2694,64.2686
0.52,50,48.6668,71.312
0.53,50,49.1695,75.8894
0.54,50,49.723,77.7033
0.55,50,50.271,76.74
0.56,50,50.7608,73.2544
0.57,50,51.1487,67.7298
0.58,50,51.4032,60.8178
0.59,50,51.5075,53.266
0.6,50,51.4604,45.8397
0.61,50,51.2752,39.2479
0.62,50,50.9779,34.0775
0.63,50,50.6036,30.744
0.64,50,50.1929,29.4619
0.65,50,49.7876,30.235
0.66,50,49.4264,32.8689
0.67,50,49.1416,37.001
0.68,50,48.9562,42.1456
0.69,50,48.8823,47.7474
0.7,50,48.9204,53.2396
0.71,50,49.0604,58.099
0.72,50,49.2829,61.894
0.73,50,49.5615,64.3206
0.74,50,49.8662,65.2248
0.75,50,50.166,64.6081
0.76,50,50.4323,62.6188
0.77,50,50.6413,59.5287
0.78,50,50.7764,55.7
0.79,50,50.8287,51.5451
0.8,50,50.798,47.4836
0.81,50,50.6922,43.9017
0.82,50,50.5258,41.1168
0.83,50,50.3184,39.3509
0.84,50,50.0924,38.715
0.85,50,49.8707,39.2043
0.86,50,49.6744,40.7061
0.87,50,49.5209,43.0165
0.88,50,49.4226,45.8655
0.89,50,49.3857,48.947
0.9,50,49.4102,51.9502
0.91,50,49.4901,54.5902
0.92,50,49.6146,56.6335
0.93,50,49.7689,57.918
0.94,50,49.9365,58.364
0.95,50,50.1005,57.9775
0.96,50,50.2452,56.8443
0.97,50,50.3578,55.1172
0.98,50,50.4294,52.9974
0.99,50,50.4553,50.7123
1,50,50.4359,48.4917
1.01,50,50.3755,46.5462
1.02,50,50.2825,45.0472
1.03,50,50.1676,44.1133
1.04,50,50.0433,43.8014
